campaign_id,spend_date,cost
CAMP_1,01/01/24,110
CAMP_1,06/01/24,110
CAMP_1,11/01/24,110
CAMP_1,16/01/24,110
CAMP_1,21/01/24,110
CAMP_1,26/01/24,110
CAMP_1,31/01/24,110
CAMP_1,05/02/24,110
CAMP_1,10/02/24,110
CAMP_1,15/02/24,110
CAMP_1,20/02/24,110
CAMP_1,25/02/24,110
CAMP_1,01/03/24,110
CAMP_1,06/03/24,110
CAMP_1,11/03/24,110
CAMP_1,16/03/24,110
CAMP_1,21/03/24,110
CAMP_1,26/03/24,110
CAMP_2,01/01/24,200
CAMP_2,06/01/24,200
CAMP_2,11/01/24,200
CAMP_2,16/01/24,200
CAMP_2,21/01/24,200
CAMP_2,26/01/24,200
CAMP_2,31/01/24,200
CAMP_2,05/02/24,200
CAMP_2,10/02/24,200
CAMP_2,15/02/24,200
CAMP_2,20/02/24,200
CAMP_2,25/02/24,200
CAMP_2,01/03/24,200
CAMP_2,06/03/24,200
CAMP_2,11/03/24,200
CAMP_2,16/03/24,200
CAMP_2,21/03/24,200
CAMP_2,26/03/24,200
CAMP_3,01/01/24,150
CAMP_3,06/01/24,150
CAMP_3,11/01/24,150
CAMP_3,16/01/24,150
CAMP_3,21/01/24,150
CAMP_3,26/01/24,150
CAMP_3,31/01/24,150
CAMP_3,05/02/24,150
CAMP_3,10/02/24,150
CAMP_3,15/02/24,150
CAMP_3,20/02/24,150
CAMP_3,25/02/24,150
CAMP_3,01/03/24,150
CAMP_3,06/03/24,150
CAMP_3,11/03/24,150
CAMP_3,16/03/24,150
CAMP_3,21/03/24,150
CAMP_3,26/03/24,150
CAMP_4,01/01/24,100
CAMP_4,06/01/24,100
CAMP_4,11/01/24,100
CAMP_4,16/01/24,100
CAMP_4,21/01/24,100
CAMP_4,26/01/24,100
CAMP_4,31/01/24,100
CAMP_4,05/02/24,100
CAMP_4,10/02/24,100
CAMP_4,15/02/24,100
CAMP_4,20/02/24,100
CAMP_4,25/02/24,100
CAMP_4,01/03/24,100
CAMP_4,06/03/24,100
CAMP_4,11/03/24,100
CAMP_4,16/03/24,100
CAMP_4,21/03/24,100
CAMP_4,26/03/24,100
