user_id,event_time,event_type,campaign_id,channel
U0001,2024-02-09 11:05:00 ,impression,CAMP_1,Google Ads
U0002,2024-01-18 09:44:00 ,impression,CAMP_2,LinkedIn
U0003,2024-02-01 09:47:00 ,impression,CAMP_4,Google Ads
U0004,2024-02-20 09:13:00 ,impression,CAMP_2,LinkedIn
U0004,2024-01-21 04:24:00 ,click,CAMP_2,LinkedIn
U0004,2024-02-21 11:13:00 ,lead,CAMP_2,LinkedIn
U0004,2024-01-22 09:25:00 ,qualified,CAMP_2,LinkedIn
U0004,2024-01-23 09:23:00 ,converted,CAMP_2,LinkedIn
U0005,2024-01-15 11:22:00 ,impression,CAMP_4,Google Ads
U0005,2024-01-15 11:37:00 ,click,CAMP_4,Google Ads
U0006,2024-01-09 10:19:00 ,impression,CAMP_4,Google Ads
U0006,2024-01-09 17:41:00 ,click,CAMP_4,Google Ads
U0006,2024-01-10 05:12:00 ,lead,CAMP_4,Google Ads
U0007,2024-02-04 12:03:00 ,impression,CAMP_1,Google Ads
U0007,2024-02-04 23:49:00 ,click,CAMP_1,Google Ads
U0007,2024-02-05 20:27:00 ,lead,CAMP_1,Google Ads
U0007,2024-02-06 05:30:00 ,qualified,CAMP_1,Google Ads
U0008,2024-01-04 12:13:00 ,impression,CAMP_4,Google Ads
U0008,2024-01-04 14:56:00 ,click,CAMP_4,Google Ads
U0008,2024-01-05 09:48:00 ,lead,CAMP_4,Google Ads
U0008,2024-01-05 19:50:00 ,qualified,CAMP_4,Google Ads
U0008,2024-01-06 17:19:00 ,converted,CAMP_4,Google Ads
U0009,2024-02-07 09:35:00 ,impression,CAMP_3,Email
U0009,2024-02-07 11:10:00 ,click,CAMP_3,Email
U0009,2024-02-08 09:46:00 ,lead,CAMP_3,Email
U0009,2024-02-08 17:34:00 ,qualified,CAMP_3,Email
U0009,2024-02-09 03:28:00 ,converted,CAMP_3,Email
U0010,2024-01-13 11:22:00 ,impression,CAMP_2,LinkedIn
U0011,2024-02-12 12:01:00 ,impression,CAMP_3,Email
U0011,2024-02-12 19:12:00 ,click,CAMP_3,Email
U0012,2024-01-20 10:27:00 ,impression,CAMP_3,Email
U0013,2024-01-15 12:14:00 ,impression,CAMP_2,LinkedIn
U0013,2024-01-15 21:28:00 ,click,CAMP_2,LinkedIn
U0014,2024-02-02 10:57:00 ,impression,CAMP_2,LinkedIn
U0014,2024-02-02 12:04:00 ,click,CAMP_2,LinkedIn
U0014,2024-02-02 22:52:00 ,lead,CAMP_2,LinkedIn
U0015,2024-01-07 13:50:00 ,impression,CAMP_3,Email
U0016,2024-01-13 12:54:00 ,impression,CAMP_2,LinkedIn
U0016,2024-01-13 17:48:00 ,click,CAMP_2,LinkedIn
U0016,2024-01-14 02:52:00 ,lead,CAMP_2,LinkedIn
U0016,2024-01-14 07:39:00 ,qualified,CAMP_2,LinkedIn
U0017,2024-02-14 13:58:00 ,impression,CAMP_3,Email
U0017,2024-02-15 03:37:00 ,click,CAMP_3,Email
U0017,2024-02-15 16:00:00 ,lead,CAMP_3,Email
U0017,2024-02-15 23:31:00 ,qualified,CAMP_3,Email
U0017,2024-02-16 04:16:00 ,converted,CAMP_3,Email
U0018,2024-01-02 09:56:00 ,impression,CAMP_4,Google Ads
