user_id,campaign_id,click,converted,impression,lead,qualified,converted_date,event_time
U0001,CAMP_1,0,0,1,0,0,,2024-02-09 11:05:00
U0002,CAMP_2,0,0,1,0,0,,2024-01-18 09:44:00
U0003,CAMP_4,0,0,1,0,0,,2024-02-01 09:47:00
U0004,CAMP_2,1,1,1,1,1,2024-01-23 09:23:00,2024-01-21 04:24:00
U0005,CAMP_4,1,0,1,0,0,,2024-01-15 11:22:00
U0006,CAMP_4,1,0,1,1,0,,2024-01-09 10:19:00
U0007,CAMP_1,1,0,1,1,1,,2024-02-04 12:03:00
U0008,CAMP_4,1,1,1,1,1,2024-01-06 17:19:00,2024-01-04 12:13:00
U0009,CAMP_3,1,1,1,1,1,2024-02-09 03:28:00,2024-02-07 09:35:00
U0010,CAMP_2,0,0,1,0,0,,2024-01-13 11:22:00
U0011,CAMP_3,1,0,1,0,0,,2024-02-12 12:01:00
U0012,CAMP_3,0,0,1,0,0,,2024-01-20 10:27:00
U0013,CAMP_2,1,0,1,0,0,,2024-01-15 12:14:00
U0014,CAMP_2,1,0,1,1,0,,2024-02-02 10:57:00
U0015,CAMP_3,0,0,1,0,0,,2024-01-07 13:50:00
U0016,CAMP_2,1,0,1,1,1,,2024-01-13 12:54:00
U0017,CAMP_3,1,1,1,1,1,2024-02-16 04:16:00,2024-02-14 13:58:00
U0018,CAMP_4,0,0,1,0,0,,2024-01-02 09:56:00
U0019,CAMP_2,1,0,1,1,1,,2024-01-20 09:32:00
U0020,CAMP_3,1,1,1,1,1,2024-02-04 10:39:00,2024-02-01 09:58:00
U0021,CAMP_1,1,0,1,1,0,,2024-01-14 10:20:00
U0022,CAMP_2,1,1,1,1,1,2024-02-07 06:21:00,2024-02-04 11:32:00
U0023,CAMP_3,1,0,1,0,0,,2024-01-18 13:31:00
U0024,CAMP_3,1,0,1,1,1,,2024-01-02 17:05:00
U0025,CAMP_2,1,1,1,1,1,2024-01-05 03:14:00,2024-01-03 09:43:00
U0026,CAMP_4,1,1,1,1,1,2024-02-08 23:44:00,2024-02-06 11:15:00
U0027,CAMP_2,1,0,1,1,0,,2024-01-13 12:11:00
U0028,CAMP_1,1,0,1,0,0,,2024-01-08 09:32:00
U0029,CAMP_2,1,1,1,1,1,2024-02-09 18:56:00,2024-02-08 09:03:00
U0030,CAMP_1,1,0,1,1,0,,2024-01-03 13:23:00
U0031,CAMP_4,1,0,1,0,0,,2024-02-18 10:07:00
U0032,CAMP_4,1,0,1,0,0,,2024-02-16 12:28:00
U0033,CAMP_1,1,0,1,1,1,,2024-01-12 12:36:00
U0034,CAMP_1,0,0,1,0,0,,2024-02-13 11:53:00
U0035,CAMP_2,1,0,1,0,0,,2024-01-07 13:34:00
U0036,CAMP_4,1,0,1,0,0,,2024-02-09 12:56:00
U0037,CAMP_4,1,1,1,1,1,2024-01-06 05:56:00,2024-01-04 09:25:00
U0038,CAMP_2,1,0,1,1,1,,2024-02-16 13:06:00
U0039,CAMP_4,0,0,1,0,0,,2024-02-13 11:15:00
U0040,CAMP_3,1,0,1,1,1,,2024-01-18 13:09:00
U0041,CAMP_1,1,1,1,1,1,2024-02-19 19:56:00,2024-02-18 09:31:00
U0042,CAMP_2,0,0,1,0,0,,2024-02-17 09:41:00
U0043,CAMP_1,1,1,1,1,1,2024-01-05 08:49:00,2024-01-03 11:00:00
U0044,CAMP_1,1,1,1,1,1,2024-02-06 20:10:00,2024-02-03 12:34:00
U0045,CAMP_3,1,0,1,0,0,,2024-02-11 11:02:00
U0046,CAMP_2,1,0,1,1,0,,2024-01-15 11:41:00
U0047,CAMP_1,0,0,1,0,0,,2024-02-18 10:49:00
